rgz_name,name,name:rs,name:it,name:hu,loc_name,name:etymology:wikidata
Brionska ulica - Via Brioni,Brionska ulica,,Via Brioni,,,
Brunjakova ulica - Via Josip Brunjak,Brunjakova ulica,,Via Josip Brunjak,,,
Bruno Valenti,Ulica Brune Valentija,,Via Bruno Valenti,,,
Brutija - Bruttia,Brutija,,Bruttia,,,
Bucaj - Buzzai,Bucaj,,Buzzai,,,
Bucalovići - Buzzalovici,Bucalovići,,Buzzalovici,,,
Budicinova ulica - Via Pino Budicin,Budicinova ulica,,Via Pino Budicin,,,Q10977127
Bujska cesta - Strada per Buie,Bujska cesta,,Strada per Buie,,,
Bujska ulica - Via Buie,Bujska ulica,,Via Buie,,,Q397724
Bunarska cesta - Strada dei pozzi,Bunarska cesta,,Strada dei pozzi,,,
Bunarska ulica - Via del pozzo,Bunarska ulica,,Via del pozzo,,,
Buonarrotijeva ulica - Via Michelangelo Buonarroti,Buonarrotijeva ulica,,Via Michelangelo Buonarroti,,,Q5592
Buščina - Buscina,Buščina,,Buscina,,,
Busolerska ulica - Via Busoler,Busolerska ulica,,Via Busoler,,,
Butkovićeva ulica - Via Vid Butković,Butkovićeva ulica,,Via Vid Butković,,,
Butori - Buttori,Butori,,Buttori,,,
Buzećani - Busechiani,Buzećani,,Busechiani,,,
Buzetska ulica - Via Pinguente,Buzetska ulica,,Via Pinguente,,,Q695767
Bužin - Busin,Bužin,,Busin,,,
Bužinija - Businia,Bužinija,,Businia,,,
Bužleti - Busletti,Bužleti,,Busletti,,,
Čabrnica - Zabergnizza,Čabrnica,,Zabergnizza,,,
Čački - Ciacichi,Čački,,Ciacichi,,,
Cademia - Cademia,Cademia,,Cademia,,,
Caknicija - Zacnizzia,Caknicija,,Zacnizzia,,,
Camper,Camper,,Zamper,,,
Campitellijev trg - Piazza Campitelli,Campitellijev trg,,Piazza Campitelli,,,
Cankarova ulica - Via Ivan Cankar,Cankarova ulica,,Via Ivan Cankar,,,Q15809
Caprinov prilaz - Via Giuseppe Caprin,Caprinov prilaz,,Via Giuseppe Caprin,,,Q3770239
Cardo Maximus,Ulica Cardo Maximus,,Via Cardo Maximus,,,
Carduccijeva ulica - Via Carducci,Carduccijeva ulica,,Via Carducci,,,
Carera - Carera,Carera,,Carera,,,
Carlijeva ulica - Via Gianrinaldo Carli,Carlijeva ulica,,Via Gianrinaldo Carli,,,Q3762758
Carrarina ulica - Via Giovanni Carrara,Carrarina ulica,,Via Giovanni Carrara,,,Q18758605
Casale - Casale,Casale,,Casale,,,
