rgz_name,name,name:rs,name:it,name:hu,loc_name,name:etymology:wikidata
Katušićev prilaz - Via Ivan Katušić,Katušićev prilaz,,Via Ivan Katušić,,,
Kave - Cave,Kave,,Cave,,,
Kavi - Cavi,Kavi,,Cavi,,,
Kavrerski put - Strada Cavrer,Kavrerski put,,Strada Cavrer,,,
Kazarole - Casarole,Kazarole,,Casarole,,,
Kažete - Casette,Kažete,,Casette,,,
Kerši - Chersi,Kerši,,Chersi,,,
Keršovanijeva ulica - Via Otokar Keršovani,Keršovanijeva ulica,,Via Otokar Keršovani,,,
Kirčeva ulica - Via Luka Kirac,Kirčeva ulica,,Via Luka Kirac,,,
Kiš Rajna - Kis Rajna,Kiš Rajna,,,Kis Rajna,,
Klarići - Clarici,Klarići,,Clarici,,,
Klesarska ulica - Via degli scalpellini,Klesarska ulica,,Via degli scalpellini,,,
Klija - Clea,Klija,,Clea,,,
Kluni - Cluni,Kluni,,Cluni,,,
Kmeti - Metti,Kmeti,,Metti,,,
Kneza Domagoja,Ulica kneza Domagoja,,,,,Q1151306
Koče - Coccie,Koče,,Coccie,,,
Kočevarija - Cocevaria,Kočevarija,,Cocevaria,,,
Kochova ulica - Via Robert Koch,Kochova ulica,,Via Robert Koch,,,
Kolari - Collari,Kolari,,Collari,,,
Kolhiđanska ulica - Via dei Colchi,Kolhiđanska ulica,,Via dei Colchi,,,
Kolodvorska ulica - Via alla stazione,Kolodvorska ulica,,Via alla stazione,,,
Kolodvorska ulica - Via della Stazione,Kolodvorska ulica,,Via della Stazione,,,
Kolodvorsko šetalište - Lungomare della stazione,Kolodvorsko šetalište,,Lungomare della stazione,,,
Kolombanija - Colombania,Kolombanija,,Colombania,,,
Kolombera - Colombera,Kolombera,,Colombera,,,
Kolovoz - Colovos,Kolovoz,,Colovos,,,
Končari - Conciari,Končari,,Conciari,,,
Koparska ulica - Via Capodistria,Koparska ulica,,Via Capodistria,,,
Koparska ulica - Via Copodistria,Koparska ulica,,Via Copodistria,,,
Korčulanska,Korčulanska ulica,,Via Curzola,,,Q13288
Koreniki - Corenichi,Koreniki,,Corenichi,,,
Kornarija - Cornaria,Kornarija,,Cornaria,,,
Korona - Corona,Korona,,Corona,,,
Koršija - Corsia,Koršija,,Corsia,,,
Kortina - Cortina,Kortina,,Cortina,,,
Kortinari - Cortinari,Kortinari,,Cortinari,,,
Kortivi - Cortivi,Kortivi,,Cortivi,,,
Kosova ulica - Via Bruno Kos,Kosova ulica,,Via Bruno Kos,,,
Kostanjica - Castagna,Kostanjica,,Castagna,,,
Košut Lajoša,Ulica Košut Lajoša,,,Kossuth Lajos utca,,Q157040
Kovačićeva ulica - Via Ivan Goran Kovačić,Kovačićeva ulica,,Via Ivan Goran Kovačić,,,
Kovačka ulica - Via dei fabbri,Kovačka ulica,,Via dei fabbri,,,
Kovilje - Covilie,Kovilje,,Covilie,,,
Kovri - Covri,Kovri,,Covri,,,
Krajići - Craici,Krajići,,Craici,,,
Kralja Tvrtka,Ulica kralja Tvrtka,,,,,Q319605
Kraljevićeve stube - Scaletta Miroslav Kraljević,Kraljevićeve stube,,Scaletta Miroslav Kraljević,,,
Kranceti - Cranzetti,Kranceti,,Cranzetti,,,
Kranjčevićeva ulica - Via Silvije Strahimir Kranjčević,Kranjčevićeva ulica,,Via Silvije Strahimir Kranjčević,,,
Kras - Carse,Kras,,Carse,,,
Krasica - Crassiza,Krasica,,Crassiza,,,
Kraška ulica - Via del Carso,Kraška ulica,,Via del Carso,,,
Kratka ulica - Via Corta,Kratka ulica,,Via Corta,,,
Krč - Cherc,Krč,,Cherc,,,
Krčka ulica - Via Veglia,Krčka ulica,,Via Veglia,,,
Kremenje - Cremegne,Kremenje,,Cremegne,,,
Križine - Crisine,Križine,,Crisine,,,
Krležina ulica - Via Miroslav Krleža,Krležina ulica,,Via Miroslav Krleža,,,
Krmpotićeva ulica - Via Josip Krmpotić,Krmpotićeva ulica,,Via Josip Krmpotić,,,
Kršete - Carsette,Kršete,,Carsette,,,
Krševanova stancija - Stanzia Chersevani,Krševanova stancija,,Stanzia Chersevani,,,
Kršin - Carsin,Kršin,,Carsin,,,
Krti - Cherti,Krti,,Cherti,,,
Krug - Croc,Krug,,Croc,,,
Kuberton - Cuberton,Kuberton,,Cuberton,,,
Kubertoni - Cubertoni,Kubertoni,,Cubertoni,,,
Kućibreg - Cucibrec,Kućibreg,,Cucibrec,,,
Kukov Vrh - Monte Cucco,Kukov Vrh,,Monte Cucco,,,
Kukuljevićeva ulica - Via Ivan Kukuljević Sakcinski,Kukuljevićeva ulica,,Via Ivan Kukuljević Sakcinski,,,
Kumičićeva ulica - Via Eugen Kumičić,Kumičićeva ulica,,Via Eugen Kumičić,,,
Kupelwieserova ulica - Via Paul Kupelwieser,Kupelwieserova ulica,,Via Paul Kupelwieser,,,
Kušći - Cuschi,Kušći,,Cuschi,,,
Kvajera,Ulica Kvajera,,Via Quaiera,,,
Kvarnerska ulica - Via del Quarnero,Kvarnerska ulica,,Via del Quarnero,,,
Kvarnerska ulica - Via Quarnero,Kvarnerska ulica,,Via Quarnero,,,
Kvarnerski trg - Piazza Quarnero,Kvarnerski trg,,Piazza Quarnero,,,
Labinska ulica - Via Albona,Labinska ulica,,Via Albona,,,Q375582
Ladin gaj - Ladin gaj,Ladin gaj,,Ladin gaj,,,
Laganisi - Laganisi,Laganisi,,Laganisi,,,
Laginjina ulica - Via Matko Laginja,Laginjina ulica,,Via Matko Laginja,,,Q1965442
Lalovići - Lalovici,Lalovići,,Lalovici,,,
Laura istok - Laura Est,Laura istok,,Laura Est,,,
Laura zapad - Laura Ovest,Laura zapad,,Laura Ovest,,,
Leharova ulica - Via Franz Lehar,Leharova ulica,,Via Franz Lehar,,,
Lettisova ulica - Via Paolo Lettis,Lettisova ulica,,Via Paolo Lettis,,,
Liburnijska ulica - Via dei Liburni,Liburnijska ulica,,Via dei Liburni,,,
Limarska ulica - Via del Bandaio,Limarska ulica,,Via del Bandaio,,,
Limska ulica - Via Leme,Limska ulica,,Via Leme,,,
Lindarska,Lindarska ulica,,Via Lindaro,,,
Lindarski prilaz - Androna Lindaro,Lindarski prilaz,,Androna Lindaro,,,
Livade - Levade,Livade,,Levade,,,
Ližnjanska ulica - Via Lisignano,Ližnjanska ulica,,Via Lisignano,,,
Ljubići - Liubici,Ljubići,,Liubici,,,
Ljubljanija - Lubiania,Ljubljanija,,Lubiania,,,
Ljubljanska ulica - Via Lubiana,Ljubljanska ulica,,Via Lubiana,,,
Ljudevita Gaja,Ulica Ljudevita Gaja,,Via Ljudevit Gaj,,,Q352617
Lokvini - Loquini,Lokvini,,Loquini,,,
Lorencini - Lorenzini,Lorencini,,Lorenzini,,,
Lošinjska,Lošinjska ulica,,Via Lussino,,,Q461426
Lošinjska ulica - Via Lussino,Lošinjska ulica,,Via Lussino,,,
Lovrečka,Lovrečka ulica,,Via San Lorenzo,,,
Lozari - Lozari,Lozari,,Lozari,,,
Lozarija - Losaria,Lozarija,,Losaria,,,
Lubiani - Lubiani,Lubiani,,Lubiani,,,
Lukoni - Luconi,Lukoni,,Luconi,,,
Lungomare - Lungomare,Lungomare,,Lungomare,,,
Lussijeva ulica - Via Mario Lussi,Lussijeva ulica,,Via Mario Lussi,,,
Majmajola (Stancija),Majmajola,,Val Maiora,,Majmajola Stancija,
Makale - Macalè,Makale,,Macalè,,,
Makovci - Macovzi,Makovci,,Macovzi,,,
Maksimijanova ulica - Via Massimiano,Maksimijanova ulica,,Via Massimiano,,,
Mala cesta - Strada piccola,Mala cesta,,Strada piccola,,,
Mala dunavska,Mala dunavska ulica,,,,,
Mala Punta - Piccola Punta,Mala Punta,,Piccola Punta,,,
Mali Breg - Monte Piccolo,Mali Breg,,Monte Piccolo,,,
Malotija - Malotia,Malotija,,Malotia,,,
Mandićeva ulica - Via Matko Mandić,Mandićeva ulica,,Via Matko Mandić,,,
Mandrije - Mandrie,Mandrije,,Mandrie,,,
Mardeganijeva ulica - Via Ulderico Carlo Mardegani,Mardeganijeva ulica,,Via Ulderico Carlo Mardegani,,,
Maria Milohanovića,Ulica Maria Milohanovića,,Via Mario Milohanović,,,
Marianijeva ulica - Via Lino Mariani,Marianijeva ulica,,Via Lino Mariani,,,
Marinčići - Marincici,Marinčići,,Marincici,,,
Markocija - Marcozia,Markocija,,Marcozia,,,
Markovac - Marcovaz,Markovac,,Marcovaz,,,
Markovići - Marcovici,Markovići,,Marcovici,,,
Maršala Tita,Ulica Maršala Tita,,,Titó Marsáll utca,,Q9161
Maršići - Marsici,Maršići,,Marsici,,,
Martinčići - Martincici,Martinčići,,Martincici,,,
Marulićeva ulica - Via Marko Marulić,Marulićeva ulica,,Via Marko Marulić,,,
Marušići - Marussici,Marušići,,Marussici,,,
Masatov prilaz - Corte dei Masato,Masatov prilaz,,Corte dei Masato,,,
Massa Lombarda,Ulica Massa Lombarde,,Via Massa Lombarda,,,
Mataheja - Matachea,Mataheja,,Matachea,,,
Mate Vlašića,Ulica Mate Vlašića,,Via Mate Vlašić,,,
Matea Benussi Cio,Ulica Matea Benussija Cia,,Via Mateo Benussi Cio,,,Q10976186
Matea Brnobića,Ulica Matea Brnobića,,Via Matteo Bernobich,,,
Matelići - Matelici,Matelići,,Matelici,,,
Materada,Ulica Materada,,Via Materada,,,
Materada - Matterada,Materada,,Matterada,,,
Matići - Matici,Matići,,Matici,,,
Matije Gupca,Ulica Matije Gupca,,,,,Q715968
Matije Vlačića,Ulica Matije Vlačića,,Via Matija Vlačić,,,Q435311
Matteottijev trg - Piazza Matteotti,Matteottijev trg,,Piazza Matteotti,,,
Matulini - Mattulini,Matulini,,Mattulini,,,
Maura Gioseffia,Ulica Maura Gioseffia,,Via Mauro Gioseffi,,,
Mavretići - Mauretici,Mavretići,,Mauretici,,,
Mažan - Masan,Mažan,,Masan,,,
Mažuranićeva ulica - Via Ivan Mažuranić,Mažuranićeva ulica,,Via Ivan Mažuranić,,,
Mazurija - Mazuria,Mazurija,,Mazuria,,,
Mazzinijeva ulica - Via Mazzini,Mazzinijeva ulica,,Via Mazzini,,,
Medejina ulica - Via Medea,Medejina ulica,,Via Medea,,,
Medelini - Medelini,Medelini,,Medelini,,,
Medici - Medizzi,Medici,,Medizzi,,,
Medigija - Medighia,Medigija,,Medighia,,,
Međimurska ulica - Via Međimurje,Međimurska ulica,,Via Međimurje,,,
Medulinska,Medulinska ulica,,Via Medolino,,,
Medulinska cesta - Via Medolino,Medulinska cesta,,Via Medolino,,,
Merišće - Merischie,Merišće,,Merischie,,,
Meštri - Mestri,Meštri,,Mestri,,,
Meštrovićeva ulica - Via Ivan Meštrović,Meštrovićeva ulica,,Via Ivan Meštrović,,,
Meteži - Metesi,Meteži,,Metesi,,,
Mihe Županića,Ulica Mihe Županića,,Via Miho Županić,,,
Mihovilovićeva ulica - Via Ive Mihovilović,Mihovilovićeva ulica,,Via Ive Mihovilović,,,
Milanovićeva ulica - Via Božo Milanović,Milanovićeva ulica,,Via Božo Milanović,,,
Milke Trnine,Ulica Milke Trnine,,,,,Q73390
Mira Grahalića,Ulica Mira Grahalića,,Via Miro Grahalić,,,
Mirna - Quieto,Mirna,,Quieto,,,
Mirna ulica - Via Quieta,Mirna ulica,,Via Quieta,,,
Mjesni trg - Piazza Locale,Mjesni trg,,Piazza Locale,,,
Mletačka ulica - Via Venezia,Mletačka ulica,,Via Venezia,,,
Mlin - Mulino,Mlin,,Mulino,,,
Mlini - Molini,Mlini,,Molini,,,
Mlinska,Mlinska ulica,,Via del mulino,,,
Mlinska ulica - Via del Molino,Mlinska ulica,,Via del Molino,,,
Mlinska ulica - Via del mulino,Mlinska ulica,,Via del mulino,,,
Mlinska ulica - Via del Mulino,Mlinska ulica,,Via del Mulino,,,
Modrušanov prilaz - Via Tone Modrušan,Modrušanov prilaz,,Via Tone Modrušan,,,
Mohorovičićeva ulica - Via A. Mohorovičić,Mohorovičićeva ulica,,Via A. Mohorovičić,,,
Mohorovičićeva ulica - Via Andrija Mohorovičić,Mohorovičićeva ulica,,Via Andrija Mohorovičić,,,
Mojmirska ulica - Via Mojmir,Mojmirska ulica,,Via Mojmir,,,
Molindrio,Molindrio,,Molindrio,,,
Momikija - Momichia,Momikija,,Momichia,,,
Momjanska ulica - Via Momiano,Momjanska ulica,,Via Momiano,,,
Montalbano - Montalbano,Montalbano,,Montalbano,,,
Monteneto - Montenetto,Monteneto,,Montenetto,,,
Montenetska ulica - Via Montenetto,Montenetska ulica,,Via Montenetto,,,
Monterol - Monterol,Monterol,,Monterol,,,
Montiron - Montiron,Montiron,,Montiron,,,
Montižana - Montisana,Montižana,,Montisana,,,
Montižel - Monticello,Montižel,,Monticello,,,
Montrin - Montrin,Montrin,,Montrin,,,
Monvidalska ulica - Via Monvidal,Monvidalska ulica,,Via Monvidal,,,
Mornarički trg - Piazza della marina,Mornarički trg,,Piazza della marina,,,
Morožija - Morosia,Morožija,,Morosia,,,
Most - Ponte,Most,,Ponte,,,
Motikina ulica - Via Antun Motika,Motikina ulica,,Via Antun Motika,,,
Motovunska,Motovunska ulica,,Via Montona,,,
Motovunska cesta - Strada per Montona,Motovunska cesta,,Strada per Montona,,,
Motovunska ulica - Via Montona,Motovunska ulica,,Via Montona,,,
Motovunski prolaz - Vicolo Montona,Motovunski prolaz,,Vicolo Montona,,,
Mugeba - Monghebbo,Mugeba,,Monghebbo,,,
Murine - Morno,Murine,,Morno,,,
Murinska ulica - Via Morno,Murinska ulica,,Via Morno,,,
Musilska ulica - Via Musil,Musilska ulica,,Via Musil,,,
Mutilska ulica - Via Mutila,Mutilska ulica,,Via Mutila,,,
Mutvoranska ulica - Via Momorano,Mutvoranska ulica,,Via Momorano,,,
Mužići - Musici,Mužići,,Musici,,,
Mužolini Donji - Musolini di Sotto,Mužolini Donji,,Musolini di Sotto,,,
Mužolini Gornji - Musolini di Sopra,Mužolini Gornji,,Musolini di Sopra,,,
Nade Dimić,Ulica Nade Dimić,,Via Nada Dimić,,,Q1288702
Narodni trg,Narodni trg,,Piazza del Popolo,,,
Narodni trg - Piazza del popolo,Narodni trg,,Piazza del popolo,,,
Narodni trg - Piazza del Popolo,Narodni trg,,Piazza del Popolo,,,
"Naselje ""Cocaletto"" - Insediamento Cocaletto","Naselje ""Cocaletto""",,Insediamento Cocaletto,,,
Naselje Gripole - Insediamento Gripole,Naselje Gripole,,Insediamento Gripole,,,
Naselje Laco Sercio - Insediamento Laco Sercio,Naselje Laco Sercio,,Insediamento Laco Sercio,,,
Naselje Mate Balota,Ulica Mate Balota,,Via Mate Balota,,,Q6786326
Naselje Monfiorenzo - Insediamento Monfiorenzo,Naselje Monfiorenzo,,Insediamento Monfiorenzo,,,
Nattorijev prolaz - Passo Nattori,Nattorijev prolaz,,Passo Nattori,,,
Nazorova ulica - Riva Nazor,Nazorova ulica,,Riva Nazor,,,
Nazorova ulica - Via Vladimir Nazor,Nazorova ulica,,Via Vladimir Nazor,,,
Negrijeva ulica - Via Aldo Negri,Negrijeva ulica,,Via Aldo Negri,,,
Nezakcijska ulica - Via Nesazio,Nezakcijska ulica,,Via Nesazio,,,
Nikole Šubića Zrinskog - Zrínyi Miklós Utca,Ulica Nikole Šubića Zrinskog,,,Zrínyi Miklós Utca,,Q467477
Nikole Tesle,Ulica Nikole Tesle,,Via Nikola Tesla,,,Q9036
Nimfej - Ninfeo,Nimfej,,Ninfeo,,,
Nobileova ulica - Via Pietro Nobile,Nobileova ulica,,Via Pietro Nobile,,,
Nova obala - Riva Nuova,Nova obala,,Riva Nuova,,,
Nova ulica - Calnova,Nova ulica,,Calnova,,,
Nova ulica - Via nuova,Nova ulica,,Via nuova,,,
Nova Vas - Villanova,Nova Vas,,Villanova,,,
Novaki - Novachi,Novaki,,Novachi,,,
Novigradska ulica - Via Cittanova,Novigradska ulica,,Via Cittanova,,,
Obala Alda Negrija - Riva Aldo Negri,Obala Alda Negrija,,Riva Aldo Negri,,,
Obala Alda Rismonda - Riva Aldo Rismondo,Obala Alda Rismonda,,Riva Aldo Rismondo,,,
Obala dr. Franje Tuđmana - Riva dr. Franjo Tuđman,Obala dr. Franje Tuđmana,,Riva dr. Franjo Tuđman,,,
Obala G. Paliaga,Obala Giordana Paliaga,,Via Giordano Paliaga,,,
Obala Josipa Broza Tita - Riva Josip Broz Tito,Obala Josipa Broza Tita,,Riva Josip Broz Tito,,,
Obala maršala Tita,Obala maršala Tita,,Riva Maresciallo Tito,,,Q9161
Obala Matka Laginje,Obala Matka Laginje,,Costa di Matko Laginja,,,
Obala palih boraca NOR - Riva ai caduti del MPL,Obala palih boraca NOR,,Riva ai caduti del MPL,,,
Obala Pina Budicina - Riva Pino Budicin,Obala Pina Budicina,,Riva Pino Budicin,,,
Oblog - Oblogo,Oblog,,Oblogo,,,
Odm. Murska Sobota,Odmorište Murska Sobota,,,,,
Odmarališna ulica - Via della Casa di Riposo,Odmarališna ulica,,Via della Casa di Riposo,,,
Omladinska ulica - Via della Gioventù,Omladinska ulica,,Via della Gioventù,,,
Omladinska ulica - Via della gioventu',Omladinska ulica,,Via della gioventu',,,
Omladinska ulica - Viale della gioventu',Omladinska ulica,,Viale della gioventu',,,
Opatijska ulica - Via Abbazia,Opatijska ulica,,Via Abbazia,,,
Općinska ulica - Via del Municipio,Općinska ulica,,Via del Municipio,,,
Oprtalj - Portole,Oprtalj,,Portole,,,
Orijak - Oriach,Orijak,,Oriach,,,
Orlići - Orlici,Orlići,,Orlici,,,
Oršići - Orsici,Oršići,,Orsici,,,
Osječka ulica - Via Osijek,Osječka ulica,,Via Osijek,,,
Oskoruš - Oscurus,Oskoruš,,Oscurus,,,
Osma ulica - Ottava Strada,Osma ulica,,Ottava Strada,,,
Osmog marta,Ulica 8. marta,,Via 8 Marzo,,,
Otok sveti Nikola,,,,,,
Otokara Keršovanija,Ulica Otokara Keršovanija,,Via Otokar Keršovani,,,Q2500995
Ozad Arene - Drio la Rena,Ozad Arene,,Drio la Rena,,,
Paduljski put - Via Paduli,Paduljski put,,Via Paduli,,,
Paganorska ulica - Via Paganor,Paganorska ulica,,Via Paganor,,,
Paklena dolina - Valle dell' inferno,Paklena dolina,,Valle dell' inferno,,,
Palacina,Ulica Palacina,,Via Palazzina,,,
Palazzine - Palazzine,Palazzine,,Palazzine,,,
Paldigija - Paldeghia,Paldigija,,Paldeghia,,,
Palisina ulica - Via Johann Palisa,Palisina ulica,,Via Johann Palisa,,,
Paliski - Palischi,Paliski,,Palischi,,,
Palladiova ulica - Via Andrea Palladio,Palladiova ulica,,Via Andrea Palladio,,,
Paoletići - Paoletici,Paoletići,,Paoletici,,,
Paolija - Paolia,Paolija,,Paolia,,,
Parenzana - Via Parenzana,Parenzana,,Via Parenzana,,,
Park Grada Siofoka,Park grada Šiofoka,,Parco citta di Siofok,Siófok Város parkja,,Q245126
Park Jurja Dobrile,Park Jurja Dobrile,,Parco Juraj Dobrila,,,Q337925
Park ladonja - Parco dei ladogni,Park ladonja,,Parco dei ladogni,,,
Park Monte Zaro - Parco Monte Zaro,Park Monte Zaro,,Parco Monte Zaro,,,
Park Novigradske biskupije - Parco del Vescovado cittanovese,Park Novigradske biskupije,,Parco del Vescovado cittanovese,,,
Park Olge Ban,Park Olge Ban,,Parco Olga Ban,,,Q2351716
Park Spinotti-Morteani - Parco Spinotti-Morteani,Park Spinotti-Morteani,,Parco Spinotti-Morteani,,,
Partizanska,Partizanska ulica,,Via dei Partigiani,,,
Partizanski put - Strada dei Partigiani,Partizanski put,,Strada dei Partigiani,,,
Pašini - Passini,Pašini,,Passini,,,
Paška,Paška ulica,,Via Pago,,,Q209784
Pašudija - Passudia,Pašudija,,Passudia,,,
Pavići - Pavici,Pavići,,Pavici,,,
Pazinska,Pazinska ulica,,Via Pisino,,,Q211968
Pazinska ulica - Via Pisino,Pazinska ulica,,Via Pisino,,,Q211968
Pećine,Pećine,,Dietro la grotta,,,
Pekarska ulica - Via del fornetto,Pekarska ulica,,Via del fornetto,,,
Perini - Perini,Perini,,Perini,,,
Peroj - Peroi,Peroj,,Peroi,,,
Perojska cesta - Via Peroi,Perojska cesta,,Via Peroi,,,
Perojska ulica - Via Peroi,Perojska ulica,,Via Peroi,,,
Pertići - Pertici,Pertići,,Pertici,,,
Peruškov prilaz - Via Tone Peruško,Peruškov prilaz,,Via Tone Peruško,,,
Peta ulica - Quinta Strada,Peta ulica,,Quinta Strada,,,
Petefi Šandora,Ulica Sándora Petőfija,,,Petőfi Sándor utca,,Q81219
Petešići - Petechi,Petešići,,Petechi,,,
Petnaesta ulica - Quindicesima Strada,Petnaesta ulica,,Quindicesima Strada,,,
Petra Preradovića,Ulica Petra Preradovića,,Via Petar Preradović,,,Q373915
Petrovićeva ulica - Via Mate Petrović,Petrovićeva ulica,,Via Mate Petrović,,,
Piazzetta Lacea - Piazzetta Filippa Lacea,Piazzetta Lacea,,Piazzetta Filippa Lacea,,,
Pical,Pical,,Pical,,,
Piceti - Pizzeti,Piceti,,Pizzeti,,,
Pietra Kandlera,Ulica Pietra Kandlera,,Via Pietro Kandler,,,Q2094429
Pigini - Pighini,Pigini,,Pighini,,,
Pina Budičina,Ulica Pina Budičina,,Via Pino Budičin,,,Q10977127
Pincini - Pinzini,Pincini,,Pinzini,,,
Pineta 1. ogranak-Valb.,Pineta 1. ogranak,,,,,
Pineta 2. ogran. Valban.,Pineta 2. ogranak,,,,,
Pineta 3. ogr.-Valband.,Pineta 3. ogranak,,,,,
Pionirska,Pionirska ulica,,Via dei Pionieri,,,
Piranesijev prilaz - Via Gianbattista Piranesi,Piranesijev prilaz,,Via Gianbattista Piranesi,,,
Piranska ulica - Via Pirano,Piranska ulica,,Via Pirano,,,
Pirelići - Perelici,Pirelići,,Perelici,,,
Pišmanjak - Pissmagnac,Pišmanjak,,Pissmagnac,,,
Piuki - Piuchi,Piuki,,Piuchi,,,
Pižoni - Pisoni,Pižoni,,Pisoni,,,
Pižoni donji - Pisoni inferiori,Pižoni donji,,Pisoni inferiori,,,
Pižoni gornji - Pisoni superiori,Pižoni gornji,,Pisoni superiori,,,
Plac - Plaz,Plac,,Plaz,,,
Plava laguna,Plava laguna,,,,,
Plominska ulica - Via Fianona,Plominska ulica,,Via Fianona,,,
Pod Dionisi - Sotto Dionisi,Pod Dionisi,,Sotto Dionisi,,,
Pod murvon - Sotto morer,Pod murvon,,Sotto morer,,,
Podestadići - Podestadici,Podestadići,,Podestadici,,,
Podravska ulica - Via Podravina,Podravska ulica,,Via Podravina,,,
Podrumarska ulica - Via dei Cantinieri,Podrumarska ulica,,Via dei Cantinieri,,,
Podujeva ulica - Via Josip Poduje,Podujeva ulica,,Via Josip Poduje,,,
Podupci,Podupci,,Podupzi,,,
Poduzetnička zona - Zona imprenditoriale,Poduzetnička zona,,Zona imprenditoriale,,,
Polanijev prolaz - Vicolo Pietro Polani,Polanijev prolaz,,Vicolo Pietro Polani,,,
Poli - Poli,Poli,,Poli,,,
Poljana sv. Benedikta - Piazzale s. Benedetto,Poljana sv. Benedikta,,Piazzale s. Benedetto,,,
Poljana sv. Martina - Campo San Martino,Poljana sv. Martina,,Campo San Martino,,,
Poljana sv. Tome - Campiello s. Tommaso,Poljana sv. Tome,,Campiello s. Tommaso,,,
Ponte Porton - Ponte Porton,Ponte Porton,,Ponte Porton,,,
Porečka ulica - Via Parenzo,Porečka ulica,,Via Parenzo,,,Q5323
Poropati - Poropati,Poropati,,Poropati,,,
Porporela - Porporella,Porporela,,Porporella,,,
Portoroška ulica - Via Portorose,Portoroška ulica,,Via Portorose,,,
Pošeš,Pošeš,,Possesso,,,
Postolarska ulica - Via dei Caligheri,Postolarska ulica,,Via dei Caligheri,,,
Postolarska ulica - Via dei calzolai,Postolarska ulica,,Via dei calzolai,,,
Prašćarija - Praschiaria,Prašćarija,,Praschiaria,,,
Premanturska cesta - Via Promontore,Premanturska cesta,,Via Promontore,,,
Preradovićeva ulica - Via Petar Preradović,Preradovićeva ulica,,Via Petar Preradović,,,
Prilaz Barake - Via Baracche,Prilaz Barake,,Via Baracche,,,
Prilaz Cerella - Via Cerella,Prilaz Cerella,,Via Cerella,,,
Prilaz Kanal - Via del canale,Prilaz Kanal,,Via del canale,,,
Prilaz Kralja Salamona - Via Re Salomone,Prilaz Kralja Salamona,,Via Re Salomone,,,
Prilaz Macaria - Corte della Macaria,Prilaz Macaria,,Corte della Macaria,,,
Prilaz marini - Passo marina,Prilaz marini,,Passo marina,,,
Prilaz Monte Cappelletta - Via Monte Cappelletta,Prilaz Monte Cappelletta,,Via Monte Cappelletta,,,
Prilaz Pjacal - Via Piazzale,Prilaz Pjacal,,Via Piazzale,,,
Prilaz Plazina - Largo Plazina,Prilaz Plazina,,Largo Plazina,,,
Prilaz Plovana Mikule - Via del Pievano Mikula,Prilaz Plovana Mikule,,Via del Pievano Mikula,,,
Prilaz Puljskih španjolskih boraca - Via dei Combattenti polesi di Spagna,Prilaz Puljskih španjolskih boraca,,Via dei Combattenti polesi di Spagna,,,
Prilaz Runci - Via Ronzi,Prilaz Runci,,Via Ronzi,,,
Prilaz sv. Germana - Via San Germano,Prilaz sv. Germana,,Via San Germano,,,
Primorska,Primorska ulica,,Via Litoranea,,,
Primorska ulica - Via del Litorale,Primorska ulica,,Via del Litorale,,,
Princip Brijeg - Monte Principe,Princip Brijeg,,Monte Principe,,,
Prišći - Pristi,Prišći,,Pristi,,,
"Prolaz ""Naše sloge"" - Vicolo ""Naša sloga""","Prolaz ""Naše sloge""",,"Vicolo ""Naša sloga""",,,
Prolaz Giovannija F. Spongije - Passo Giovanni F. Spongia,Prolaz Giovannija F. Spongije,,Passo Giovanni F. Spongia,,,
Prolaz kod kazališta - Vicolo del teatro,Prolaz kod kazališta,,Vicolo del teatro,,,
Prolaz kod zdenca - Vicolo del pozzetto,Prolaz kod zdenca,,Vicolo del pozzetto,,,
Prolaz Marije Maretić - Passo Marija Maretić,Prolaz Marije Maretić,,Passo Marija Maretić,,,
Prolaz Milana Macana - Passo Milan Macan,Prolaz Milana Macana,,Passo Milan Macan,,,
Prolaz P. Bobicchija - Passo P. Bobicchio,Prolaz P. Bobicchija,,Passo P. Bobicchio,,,
Prolaz Peškera,,,,,,
Prolaz stare uljare - Passo del torcio,Prolaz stare uljare,,Passo del torcio,,,
Prolaz sv. Damjana - Volto s. Damiano,Prolaz sv. Damjana,,Volto s. Damiano,,,
Prolaz sv. Nikole - Via San Nicolò,Prolaz sv. Nikole,,Via San Nicolò,,,
Prolaz Venecija - Largo Venezia,Prolaz Venecija,,Largo Venezia,,,
Proljetna obala - Riva della Primavera,Proljetna obala,,Riva della Primavera,,,
Prva ulica - Prima Strada,Prva ulica,,Prima Strada,,,
Prvog maja,Ulica prvog maja,,,Május 1. utca,,
Prvomajska,Prvomajska ulica,,Via I Maggio,,,
Puljere - Puliere,Puljere,,Puliere,,,
Puljska cesta - Via Pola,Puljska cesta,,Via Pola,,,
Pulska,Pulska ulica,,Via Pola,,,Q4656
Pulska cesta - Strada di Pola,Pulska cesta,,Strada di Pola,,,
Pulska ulica - Via Pola,Pulska ulica,,Via Pola,,,
Punta,Punta,,Punta,,,
Punta - Punta,Punta,,Punta,,,
Pusta ulica - Vicolo del deserto,Pusta ulica,,Vicolo del deserto,,,
Put Gazo - Strada Gaso,Put Gazo,,Strada Gaso,,,
Put maslina - Strada degli Olivi,Put maslina,,Strada degli Olivi,,,
Put od fortica - Strada dei forti,Put od fortica,,Strada dei forti,,,
Put Salteria - Strada Salteria,Put Salteria,,Strada Salteria,,,
Put Stjepana Konzula Istranina - Strada Stefano Console Pinguentino,Put Stjepana Konzula Istranina,,Strada Stefano Console Pinguentino,,,
Put sv. Elizeja - Strada S. Eliseo,Put sv. Elizeja,,Strada S. Eliseo,,,
